Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	4	Constant	Left	Right	14241	18336	4095	1112	1107	0
2	4	Constant	Right	Left	18672	21775	3103	172	169	0
3	4	Fluctuating	Left	Right	22040	25911	3871	1113	1136	0
4	4	Fluctuating	Right	Left	26295	29935	3640	146	146	0
5	4	Fluctuating	Left	Right	30167	32929	2762	1137	1143	0
6	4	Fluctuating	Right	Left	33193	36831	3638	147	159	0
7	4	Fluctuating	Left	Right	37127	41415	4288	1098	1122	0
8	4	Constant	Right	Left	41711	44342	2631	148	153	0
9	4	Fluctuating	Left	Right	44590	47266	2676	1099	1095	0
10	4	Fluctuating	Right	Left	47646	51703	4057	138	169	0
11	4	Fluctuating	Left	Right	51951	56582	4631	1126	1126	0
12	4	Constant	Right	Left	56878	59830	2952	144	141	0
13	4	Constant	Left	Right	60078	62927	2849	1150	1140	0
14	4	Constant	Right	Left	63430	66998	3568	163	163	0
15	4	Fluctuating	Left	Right	67334	70422	3088	1111	1111	0
16	4	Constant	Right	Left	70702	73706	3004	151	151	0
17	4	Constant	Left	Right	73974	77078	3104	1136	1135	0
18	4	Constant	Right	Left	77438	80902	3464	178	178	0
19	4	Constant	Left	Right	81134	84038	2904	1132	1142	0
20	4	Fluctuating	Right	Left	84263	87718	3455	148	149	0
21	3	Fluctuating	Left	Right	88078	90430	2352	1140	1141	0
22	3	Constant	Right	Left	90630	92685	2055	213	217	0
23	3	Constant	Left	Right	92894	94885	1991	1145	1116	0
24	3	Constant	Right	Left	95053	97093	2040	195	195	0
25	3	Constant	Left	Right	97285	99309	2024	1200	1172	0
26	3	Constant	Right	Left	99741	101909	2168	150	153	0
27	3	Fluctuating	Left	Right	102061	104493	2432	1113	1127	0
28	3	Fluctuating	Right	Left	104677	107285	2608	205	214	0
29	3	Fluctuating	Left	Right	107542	109797	2255	1106	1124	0
30	3	Fluctuating	Right	Left	109997	111981	1984	190	190	0
31	3	Fluctuating	Left	Right	112143	114055	1912	1070	1070	0
32	3	Fluctuating	Right	Left	114237	116237	2000	155	190	0
33	3	Fluctuating	Left	Right	116389	118637	2248	1134	1107	0
34	3	Constant	Right	Left	118781	120798	2017	154	168	0
35	3	Constant	Left	Right	120941	122982	2041	1113	1085	0
36	3	Constant	Right	Left	123181	125517	2336	197	197	0
37	3	Constant	Left	Right	125653	127709	2056	1151	1125	0
38	3	Fluctuating	Right	Left	127839	131752	3913	190	201	0
39	3	Fluctuating	Left	Right	131917	134078	2161	1153	1132	0
40	3	Constant	Right	Left	134237	136588	2351	187	214	0
41	2	Constant	Left	Right	136780	138436	1656	1100	1073	0
42	2	Fluctuating	Right	Left	138588	140254	1666	277	307	0
43	2	Constant	Left	Right	140485	141724	1239	1161	1061	0
44	2	Constant	Right	Left	141860	143439	1579	159	251	0
45	2	Constant	Left	Right	143573	144948	1375	1045	1027	0
46	2	Constant	Right	Left	145060	146340	1280	192	251	0
47	2	Fluctuating	Left	Right	146436	147572	1136	1049	1048	0
48	2	Fluctuating	Right	Left	147712	149309	1597	123	259	0
49	2	Constant	Left	Right	149484	150892	1408	1055	1016	0
50	2	Constant	Right	Left	151036	152284	1248	208	273	0
51	2	Constant	Left	Right	152438	153796	1358	1211	1130	0
52	2	Fluctuating	Right	Left	153908	155244	1336	255	255	0
53	2	Constant	Left	Right	155429	156780	1351	1196	1131	0
54	2	Fluctuating	Right	Left	156932	158271	1339	242	260	0
55	2	Fluctuating	Left	Right	158452	159894	1442	1205	1197	0
56	2	Constant	Right	Left	160044	161852	1808	146	228	0
57	2	Fluctuating	Left	Right	162020	163236	1216	990	989	0
58	2	Fluctuating	Right	Left	163444	164924	1480	-97	12	0
59	2	Fluctuating	Left	Right	165324	167382	2058	1069	1066	0
60	2	Fluctuating	Right	Left	167532	169348	1816	122	282	0
61	5	Constant	Left	Right	170292	173788	3496	1123	1129	0
62	5	Fluctuating	Right	Left	174004	177628	3624	161	162	0
63	5	Constant	Left	Right	177804	181438	3634	1120	1118	0
64	5	Fluctuating	Right	Left	181671	186011	4340	158	158	0
65	5	Fluctuating	Left	Right	186180	189131	2951	1121	1118	0
66	5	Fluctuating	Right	Left	189379	193627	4248	170	170	0
67	5	Fluctuating	Left	Right	194011	196323	2312	1117	1117	0
68	5	Fluctuating	Right	Left	196531	199149	2618	176	173	0
69	5	Constant	Left	Right	199579	202787	3208	1121	1125	0
70	5	Fluctuating	Right	Left	202987	207915	4928	151	167	0
71	5	Fluctuating	Left	Right	208172	212123	3951	1124	1122	0
72	5	Fluctuating	Right	Left	212323	215835	3512	150	160	0
73	5	Fluctuating	Left	Right	216107	220626	4519	1120	1118	0
74	5	Constant	Right	Left	220890	224283	3393	161	161	0
75	5	Constant	Left	Right	224461	227178	2717	1105	1126	0
76	5	Constant	Right	Left	229387	233234	3847	175	172	1
77	5	Constant	Left	Right	233746	236523	2777	1111	1117	0
78	5	Constant	Right	Left	236930	240834	3904	170	174	0
79	5	Constant	Left	Right	241210	243771	2561	1104	1124	0
80	5	Constant	Right	Left	244242	247562	3320	170	167	0

Group	Sum	Mean	Std. Dev
C2	14302	1430.2	189.50215478106486
C3	21079	2107.9	132.61678291645865
C4	31674	3167.4	427.99797507309154
C5	29010	3223.3333333333335	452.62291148372066
F2	15086	1508.6	282.2879538501225
F3	23865	2386.5	577.9646759678888
F4	36106	3610.6	637.6784630377775
F5	37003	3700.3	859.6535542492296
