Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	5	Fluctuating	Left	Right	32249	34499	2250	1121	1121	2
2	5	Constant	Right	Left	34816	36576	1760	132	168	0
3	5	Fluctuating	Left	Right	37104	39280	2176	1111	1111	0
4	5	Constant	Right	Left	39608	42008	2400	152	152	0
5	5	Constant	Right	Left	46009	50392	4383	159	159	1
6	5	Constant	Left	Right	55656	58033	2377	1109	1109	0
7	5	Constant	Right	Left	58240	60320	2080	153	153	0
8	5	Fluctuating	Left	Right	60575	64688	4113	1112	1112	0
9	5	Constant	Right	Left	64944	67975	3031	157	157	0
10	5	Fluctuating	Left	Right	68082	72515	4433	1123	1123	1
11	5	Constant	Left	Right	75393	77584	2191	1118	1118	1
12	5	Constant	Left	Right	81199	83488	2289	1126	1126	1
13	5	Constant	Right	Left	83616	87032	3416	148	148	1
14	5	Fluctuating	Left	Right	87410	89511	2101	1123	1123	0
15	5	Fluctuating	Right	Left	89711	92640	2929	154	154	0
16	5	Fluctuating	Left	Right	92815	96143	3328	1110	1110	0
17	5	Fluctuating	Right	Left	96458	99063	2605	154	154	0
18	5	Fluctuating	Left	Right	99217	101367	2150	1112	1112	0
19	5	Fluctuating	Right	Left	101535	103575	2040	163	163	0
20	5	Constant	Left	Right	103699	108815	5116	1117	1116	0
21	2	Fluctuating	Right	Left	111215	113878	2663	279	279	0
22	2	Fluctuating	Left	Right	114015	115391	1376	1517	1270	0
23	2	Fluctuating	Right	Left	115527	116455	928	95	95	0
24	2	Constant	Left	Right	116559	117519	960	1219	1219	0
25	2	Fluctuating	Right	Left	117631	118447	816	64	64	0
26	2	Constant	Left	Right	118567	119528	961	1026	1026	0
27	2	Fluctuating	Right	Left	120239	121207	968	-76	10	0
28	2	Fluctuating	Right	Left	122327	123263	936	-1	10	1
29	2	Constant	Left	Right	123327	124215	888	1241	1186	0
30	2	Constant	Right	Left	124319	125159	840	-28	139	0
31	2	Constant	Left	Right	127175	128071	896	1195	1025	2
32	2	Constant	Right	Left	128167	129015	848	37	138	0
33	2	Constant	Left	Right	129111	129967	856	1140	1126	0
34	2	Fluctuating	Left	Right	130872	131641	769	1188	1187	0
35	2	Constant	Right	Left	131735	132519	784	80	258	0
36	2	Constant	Right	Left	133447	134151	704	26	281	1
37	2	Fluctuating	Right	Left	135142	136023	881	-62	10	0
38	2	Fluctuating	Left	Right	136103	136855	752	1071	1071	0
39	2	Fluctuating	Left	Right	137711	138950	1239	1151	1151	0
40	2	Constant	Right	Left	139063	139735	672	-49	159	0
41	4	Constant	Right	Left	141023	143142	2119	154	154	1
42	4	Constant	Left	Right	143225	144473	1248	1144	1144	0
43	4	Constant	Right	Left	144582	146551	1969	156	156	0
44	4	Constant	Left	Right	146647	147759	1112	1140	1140	0
45	4	Fluctuating	Right	Left	147863	150831	2968	145	145	0
46	4	Fluctuating	Left	Right	150943	152816	1873	1095	1095	0
47	4	Fluctuating	Left	Right	154806	157039	2233	1126	1126	1
48	4	Fluctuating	Right	Left	157158	159958	2800	150	150	0
49	4	Fluctuating	Left	Right	160088	163046	2958	1139	1151	0
50	4	Constant	Left	Right	166078	168894	2816	1105	1105	3
51	4	Fluctuating	Right	Left	168958	170566	1608	156	154	0
52	4	Fluctuating	Left	Right	170638	172670	2032	1130	1130	0
53	4	Constant	Right	Left	172758	173870	1112	172	172	0
54	4	Constant	Left	Right	173958	176414	2456	1111	1111	0
55	4	Fluctuating	Right	Left	176487	179679	3192	166	165	0
56	4	Fluctuating	Left	Right	179761	181774	2013	1112	1112	0
57	4	Fluctuating	Right	Left	181863	184198	2335	164	190	0
58	4	Constant	Left	Right	184344	185510	1166	1125	1125	0
59	4	Constant	Right	Left	185598	187342	1744	169	169	0
60	4	Constant	Left	Right	187430	188566	1136	1116	1116	0
61	3	Constant	Right	Left	188638	189648	1010	142	142	0
62	3	Fluctuating	Left	Right	189734	192303	2569	1080	1056	0
63	3	Fluctuating	Right	Left	192510	196094	3584	124	123	0
64	3	Constant	Left	Right	196150	197271	1121	1150	1150	0
65	3	Fluctuating	Right	Left	197350	198974	1624	174	174	0
66	3	Constant	Left	Right	199072	200766	1694	1106	1094	0
67	3	Constant	Right	Left	200870	202022	1152	203	203	0
68	3	Fluctuating	Left	Right	202118	203006	888	1136	1136	0
69	3	Fluctuating	Right	Left	203102	204070	968	187	187	0
70	3	Constant	Left	Right	204158	206054	1896	1095	1095	0
71	3	Fluctuating	Right	Left	206142	207550	1408	177	177	0
72	3	Fluctuating	Right	Left	209238	210582	1344	177	177	1
73	3	Fluctuating	Left	Right	210654	212598	1944	1081	1081	0
74	3	Constant	Right	Left	212702	213614	912	171	171	0
75	3	Constant	Left	Right	213694	214662	968	1075	1075	0
76	3	Constant	Right	Left	214719	215574	855	135	135	0
77	3	Constant	Right	Left	217126	218941	1815	129	129	2
78	3	Fluctuating	Left	Right	219062	221174	2112	1125	1125	0
79	3	Constant	Right	Left	221271	222286	1015	124	124	0
80	3	Fluctuating	Left	Right	222382	223390	1008	1153	1153	0

Group	Sum	Mean	Std. Dev
C2	6809	851.125	94.1388602013005
C3	10623	1180.3333333333333	363.9426465804743
C4	11943	1492.875	507.32785609645816
C5	16764	2794	1212.9245648431727
F2	10392	1154.6666666666667	603.9308735277573
F3	16105	1789.4444444444443	882.2532390293491
F4	21779	2419.8888888888887	571.4130389754081
F5	21442	2680.25	738.7997505607128
