Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	2	Fluctuating	Left	Right	40394	43023	2629	1350	1270	0
2	2	Fluctuating	Right	Left	44911	47279	2368	-908	10	0
3	2	Constant	Left	Right	67982	69678	1696	1715	1270	1
4	2	Constant	Right	Left	70623	72927	2304	-259	10	0
5	2	Fluctuating	Left	Right	73758	76319	2561	1194	1199	0
6	2	Constant	Right	Left	76942	78886	1944	-223	10	0
7	2	Fluctuating	Left	Right	79800	82725	2925	1045	1045	1
8	2	Fluctuating	Right	Left	83576	85470	1894	-630	10	0
9	2	Fluctuating	Left	Right	86206	89831	3625	1272	1030	0
10	2	Constant	Right	Left	90327	91846	1519	-365	10	0
11	2	Constant	Left	Right	92550	94502	1952	1230	1097	0
12	2	Constant	Right	Left	95781	97318	1537	-147	10	0
13	2	Fluctuating	Left	Right	98165	99878	1713	1256	1061	0
14	2	Constant	Right	Left	100461	102215	1754	-162	10	0
15	2	Fluctuating	Left	Right	102838	105221	2383	1261	1046	0
16	2	Fluctuating	Right	Left	105749	108022	2273	-134	144	0
17	2	Constant	Left	Right	108373	110437	2064	1385	1248	0
18	2	Fluctuating	Right	Left	110934	113216	2282	-284	44	0
19	2	Constant	Left	Right	114125	116221	2096	1401	1165	0
20	2	Constant	Right	Left	116741	118958	2217	0	15	0
21	5	Fluctuating	Right	Left	217211	220707	3496	104	159	14
22	5	Constant	Right	Left	227898	230898	3000	155	155	1
23	5	Constant	Right	Left	288673	293002	4329	141	158	10
24	5	Constant	Left	Right	302892	308377	5485	1134	1133	2
25	5	Constant	Right	Left	321776	328506	6730	147	155	2
26	5	Constant	Left	Right	329037	333001	3964	1106	1110	0
27	5	Fluctuating	Right	Left	333632	337664	4032	157	157	0
28	5	Fluctuating	Right	Left	347264	356899	9635	146	157	1
29	5	Constant	Right	Left	362720	365961	3241	181	172	1
30	5	Fluctuating	Left	Right	366527	373255	6728	1107	1107	0
31	5	Fluctuating	Right	Left	373887	378784	4897	159	159	0
32	5	Constant	Left	Right	379167	383487	4320	1105	1118	0
33	5	Constant	Right	Left	383912	389904	5992	187	172	0
34	5	Fluctuating	Left	Right	401255	404567	3312	1110	1106	2
35	5	Fluctuating	Left	Right	412598	417002	4404	1135	1135	1
36	5	Fluctuating	Right	Left	417678	422238	4560	165	163	0
37	5	Constant	Right	Left	427366	432358	4992	156	160	1
38	5	Fluctuating	Left	Right	432774	437366	4592	1128	1128	0
39	5	Constant	Left	Right	450342	454510	4168	1122	1122	3
40	3	Fluctuating	Right	Left	468653	472262	3609	130	168	2
41	3	Fluctuating	Left	Right	472837	475277	2440	1112	1111	0
42	3	Fluctuating	Right	Left	475982	479797	3815	-15	150	0
43	3	Constant	Left	Right	480853	484150	3297	1138	1125	0
44	3	Fluctuating	Right	Left	484597	487629	3032	73	161	0
45	3	Fluctuating	Left	Right	488247	491045	2798	1107	1107	0
46	3	Fluctuating	Right	Left	491469	494548	3079	104	185	0
47	3	Fluctuating	Left	Right	494877	498581	3704	1093	1094	0
48	3	Constant	Right	Left	499012	501670	2658	78	128	0
49	3	Fluctuating	Right	Left	516573	519212	2639	202	203	4
50	3	Fluctuating	Left	Right	532756	537168	4412	1123	1123	2
51	3	Constant	Right	Left	543572	546389	2817	238	181	2
52	3	Constant	Left	Right	547213	549382	2169	1151	1115	0
53	3	Constant	Left	Right	552395	555387	2992	1211	1138	1
54	3	Constant	Right	Left	555891	557444	1553	34	144	0
55	3	Fluctuating	Left	Right	558102	560661	2559	1131	1085	0
56	3	Constant	Right	Left	567196	569355	2159	126	160	2
57	3	Constant	Left	Right	577155	580988	3833	1064	1077	0
58	3	Constant	Right	Left	581659	583934	2275	119	155	0
59	3	Fluctuating	Left	Right	584323	588123	3800	1103	1105	0
60	3	Constant	Right	Left	588603	590947	2344	189	172	0
61	4	Constant	Left	Right	591738	594626	2888	1100	1112	0
62	4	Fluctuating	Right	Left	595164	599347	4183	158	171	0
63	4	Fluctuating	Right	Left	603747	609090	5343	149	149	1
64	4	Fluctuating	Left	Right	609458	614995	5537	1128	1101	0
65	4	Constant	Right	Left	615706	620242	4536	127	142	0
66	4	Constant	Left	Right	620722	623963	3241	1082	1097	0
67	4	Constant	Right	Left	624746	628595	3849	173	130	0
68	4	Constant	Left	Right	629106	633282	4176	1111	1125	0
69	4	Constant	Right	Left	633786	638602	4816	161	174	0
70	4	Constant	Left	Right	639049	642626	3577	1128	1129	0
71	4	Fluctuating	Right	Left	643011	647756	4745	162	170	0
72	4	Constant	Left	Right	648137	652337	4200	1112	1102	0
73	4	Fluctuating	Right	Left	652705	657706	5001	157	158	0
74	4	Fluctuating	Left	Right	658313	665201	6888	1115	1115	0
75	4	Constant	Right	Left	665530	668762	3232	164	154	0
76	4	Fluctuating	Left	Right	669081	675713	6632	1124	1126	0
77	4	Fluctuating	Right	Left	676009	681121	5112	161	169	0
78	4	Constant	Right	Left	686008	689121	3113	189	163	1
79	4	Fluctuating	Right	Left	694560	698320	3760	158	158	1
80	4	Fluctuating	Left	Right	698656	703760	5104	1103	1103	0

Group	Sum	Mean	Std. Dev
C2	17387	1931.888888888889	279.0051273921523
C3	18129	2589.8571428571427	759.5912121159707
C4	34515	3835	650.3155003534823
C5	14276	4758.666666666667	1082.828395145479
F2	21728	2414.222222222222	540.4324143169472
F3	25227	3153.375	556.4941117645104
F4	43202	5400.25	925.09547769792
F5	24809	4961.8	1035.1793081394162
