Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	3	Fluctuating	Left	Right	2988	4011	1023	1070	1070	0
2	3	Fluctuating	Right	Left	4267	6563	2296	116	116	0
3	3	Fluctuating	Left	Right	6835	9542	2707	1080	1058	0
4	3	Constant	Right	Left	9890	12804	2914	121	120	0
5	3	Fluctuating	Left	Right	13027	14757	1730	1089	1089	0
6	3	Fluctuating	Right	Left	15043	18443	3400	123	113	0
7	3	Constant	Left	Right	18787	20829	2042	1113	1113	0
8	3	Constant	Right	Left	21051	23962	2911	162	162	0
9	3	Constant	Left	Right	24151	26162	2011	1127	1127	0
10	3	Fluctuating	Right	Left	26442	29755	3313	149	149	0
11	3	Fluctuating	Left	Right	30010	31948	1938	1166	1166	0
12	3	Constant	Right	Left	32194	35131	2937	152	152	0
13	3	Fluctuating	Left	Right	35338	37020	1682	1066	1064	0
14	3	Constant	Right	Left	37186	39794	2608	116	110	0
15	3	Constant	Left	Right	40155	42755	2600	1061	1057	0
16	3	Constant	Right	Left	43042	45460	2418	105	105	0
17	3	Constant	Left	Right	45794	47874	2080	1142	1139	0
18	3	Constant	Right	Left	48093	50850	2757	110	110	0
19	3	Fluctuating	Left	Right	51066	53025	1959	1126	1126	0
20	3	Fluctuating	Right	Left	53227	55645	2418	129	129	0
21	5	Fluctuating	Right	Left	62298	65425	3127	154	154	2
22	5	Constant	Left	Right	65649	69033	3384	1123	1123	0
23	5	Constant	Right	Left	69274	71777	2503	169	164	0
24	5	Fluctuating	Left	Right	72057	75546	3489	1114	1114	0
25	5	Fluctuating	Right	Left	75745	80345	4600	166	166	0
26	5	Constant	Left	Right	80673	83281	2608	1124	1124	0
27	5	Fluctuating	Right	Left	83505	88753	5248	163	163	0
28	5	Constant	Left	Right	88946	91649	2703	1133	1133	0
29	5	Fluctuating	Right	Left	91953	98257	6304	157	159	0
30	5	Fluctuating	Left	Right	98457	103897	5440	1132	1132	0
31	5	Fluctuating	Right	Left	104038	108375	4337	152	152	0
32	5	Constant	Left	Right	108617	111777	3160	1112	1109	0
33	5	Fluctuating	Right	Left	112121	117240	5119	149	149	0
34	5	Fluctuating	Left	Right	117496	120968	3472	1117	1117	0
35	5	Constant	Right	Left	121147	125008	3861	158	157	0
36	5	Constant	Left	Right	125240	128576	3336	1121	1121	0
37	5	Fluctuating	Left	Right	131712	137128	5416	1117	1117	1
38	5	Constant	Right	Left	137370	141032	3662	158	156	0
39	5	Constant	Left	Right	141392	144673	3281	1116	1116	0
40	5	Constant	Right	Left	144874	147952	3078	148	148	0
41	4	Fluctuating	Left	Right	148168	150680	2512	1119	1122	0
42	4	Fluctuating	Right	Left	150834	153352	2518	164	164	0
43	4	Fluctuating	Left	Right	153520	155239	1719	1099	1099	0
44	4	Fluctuating	Right	Left	155400	157983	2583	156	156	0
45	4	Fluctuating	Left	Right	158167	160543	2376	1122	1124	0
46	4	Constant	Right	Left	160711	163479	2768	152	152	0
47	4	Fluctuating	Left	Right	163656	165528	1872	1117	1117	0
48	4	Fluctuating	Right	Left	165663	169655	3992	153	142	0
49	4	Constant	Left	Right	169850	171959	2109	1138	1128	0
50	4	Fluctuating	Right	Left	172135	175831	3696	138	138	0
51	4	Constant	Left	Right	176073	179410	3337	1142	1143	0
52	4	Fluctuating	Right	Left	179583	181279	1696	163	152	0
53	4	Constant	Left	Right	181439	183703	2264	1141	1138	0
54	4	Constant	Right	Left	183904	186791	2887	177	177	0
55	4	Fluctuating	Left	Right	186935	190287	3352	1091	1112	0
56	4	Constant	Right	Left	190927	193671	2744	157	146	0
57	4	Constant	Left	Right	193847	196438	2591	1132	1119	0
58	4	Constant	Right	Left	196587	199144	2557	164	164	0
59	4	Constant	Left	Right	199303	200790	1487	1134	1134	0
60	4	Constant	Right	Left	200942	204075	3133	148	148	0
61	2	Constant	Left	Right	204222	205494	1272	1225	1187	0
62	2	Constant	Right	Left	205663	206918	1255	174	181	0
63	2	Fluctuating	Left	Right	207071	208406	1335	1052	1052	0
64	2	Constant	Right	Left	208574	209854	1280	137	225	0
65	2	Fluctuating	Left	Right	210030	212062	2032	1029	978	0
66	2	Constant	Right	Left	212222	213598	1376	164	230	0
67	2	Constant	Left	Right	213726	214950	1224	1178	1155	0
68	2	Fluctuating	Right	Left	215110	216342	1232	79	88	0
69	2	Constant	Left	Right	216526	217918	1392	999	973	0
70	2	Fluctuating	Right	Left	218070	219182	1112	106	107	0
71	2	Fluctuating	Left	Right	219350	220919	1569	1115	1095	0
72	2	Fluctuating	Right	Left	221038	222151	1113	250	273	0
73	2	Constant	Left	Right	222390	223598	1208	1122	1078	0
74	2	Fluctuating	Right	Left	223750	225600	1850	111	317	0
75	2	Fluctuating	Left	Right	226080	227118	1038	1217	1218	0
76	2	Constant	Right	Left	227271	228504	1233	139	213	0
77	2	Fluctuating	Left	Right	228670	229646	976	1085	1085	0
78	2	Constant	Right	Left	229886	231046	1160	70	184	0
79	2	Fluctuating	Left	Right	231238	232310	1072	1016	1007	0
80	2	Constant	Right	Left	232518	233750	1232	-2	101	0

Group	Sum	Mean	Std. Dev
C2	12632	1263.2	72.15692774933133
C3	25278	2527.8	371.67482801203766
C4	25877	2587.7	532.473275281388
C5	31576	3157.6	446.10242969275316
F2	13329	1332.9	365.3958127838905
F3	22466	2246.6	743.2750649808065
F4	26316	2631.6	808.4754101943292
F5	38009	4751.125	977.7265813391507
