Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	2	Fluctuating	Left	Right	9332	10466	1134	1340	1270	0
2	2	Fluctuating	Right	Left	12446	14306	1860	-676	10	0
3	2	Constant	Left	Right	15225	17186	1961	2001	1270	0
4	2	Fluctuating	Right	Left	17668	19954	2286	-450	10	0
5	2	Constant	Left	Right	20633	22583	1950	1443	1028	0
6	2	Fluctuating	Right	Left	23193	25148	1955	-368	10	0
7	2	Fluctuating	Left	Right	25649	27889	2240	1311	1270	0
8	2	Constant	Right	Left	28673	30748	2075	-91	100	0
9	2	Constant	Left	Right	31346	33125	1779	1468	1169	0
10	2	Constant	Right	Left	33315	35396	2081	-209	21	0
11	2	Fluctuating	Left	Right	35649	37659	2010	1840	1270	0
12	2	Constant	Right	Left	37801	39693	1892	-178	23	0
13	2	Constant	Left	Right	39970	41834	1864	1457	1270	0
14	2	Constant	Right	Left	42193	44131	1938	-189	16	0
15	2	Fluctuating	Left	Right	44273	45978	1705	1225	1205	0
16	2	Constant	Right	Left	46209	47933	1724	-405	10	0
17	2	Fluctuating	Left	Right	48096	50398	2302	2329	1270	0
18	2	Fluctuating	Right	Left	50744	52660	1916	-659	10	0
19	2	Constant	Left	Right	52905	54961	2056	1613	1270	0
20	2	Fluctuating	Right	Left	55280	56884	1604	-7	292	0
21	3	Constant	Right	Left	59921	65108	5187	184	179	1
22	3	Constant	Left	Right	65617	68640	3023	1078	1115	0
23	3	Constant	Right	Left	69114	71120	2006	131	126	0
24	3	Fluctuating	Left	Right	71425	75730	4305	1071	1154	0
25	3	Constant	Right	Left	76216	79337	3121	167	168	0
26	3	Constant	Left	Right	79657	82112	2455	1109	1085	0
27	3	Constant	Right	Left	82448	85728	3280	134	125	0
28	3	Constant	Left	Right	86001	88851	2850	1133	1146	0
29	3	Fluctuating	Right	Left	89256	92235	2979	148	148	0
30	3	Constant	Left	Right	92553	95752	3199	1159	1159	0
31	3	Constant	Right	Left	96144	99872	3728	149	169	0
32	3	Constant	Left	Right	100464	103170	2706	1098	1098	0
33	3	Fluctuating	Right	Left	103488	106624	3136	79	161	0
34	3	Fluctuating	Left	Right	107496	110480	2984	1144	1144	0
35	3	Fluctuating	Right	Left	110727	116759	6032	181	215	0
36	3	Fluctuating	Left	Right	117200	120200	3000	1071	1076	0
37	3	Fluctuating	Right	Left	120560	123304	2744	102	102	0
38	3	Fluctuating	Left	Right	123607	125759	2152	1075	1075	0
39	3	Fluctuating	Right	Left	126059	128833	2774	206	215	0
40	3	Fluctuating	Left	Right	129336	130920	1584	1081	1081	0
41	5	Constant	Right	Left	132343	136223	3880	145	145	0
42	5	Fluctuating	Left	Right	136695	138712	2017	1114	1115	0
43	5	Constant	Right	Left	139071	142871	3800	150	150	0
44	5	Constant	Left	Right	143271	148471	5200	1124	1124	0
45	5	Constant	Right	Left	148839	152063	3224	170	164	0
46	5	Constant	Left	Right	153215	157399	4184	1115	1115	0
47	5	Fluctuating	Right	Left	157719	161927	4208	163	164	0
48	5	Constant	Left	Right	162263	166447	4184	1116	1116	0
49	5	Constant	Right	Left	166719	170480	3761	159	152	0
50	5	Fluctuating	Left	Right	170855	174279	3424	1118	1118	0
51	5	Constant	Right	Left	174534	178495	3961	162	155	0
52	5	Constant	Left	Right	178783	181935	3152	1149	1129	0
53	5	Constant	Right	Left	182935	186343	3408	152	150	0
54	5	Fluctuating	Left	Right	186833	190173	3340	1132	1122	0
55	5	Fluctuating	Right	Left	190870	195244	4374	154	155	0
56	5	Fluctuating	Left	Right	195569	198823	3254	1136	1118	0
57	5	Fluctuating	Right	Left	199598	204246	4648	144	153	0
58	5	Fluctuating	Left	Right	217910	223166	5256	1112	1112	2
59	5	Fluctuating	Right	Left	223478	226646	3168	154	168	0
60	5	Fluctuating	Left	Right	227001	230566	3565	1118	1118	0
61	4	Fluctuating	Right	Left	230846	233358	2512	176	177	0
62	4	Fluctuating	Left	Right	233606	235831	2225	1105	1105	0
63	4	Fluctuating	Right	Left	236070	238999	2929	171	139	0
64	4	Fluctuating	Left	Right	239334	241998	2664	1214	1106	0
65	4	Constant	Right	Left	243126	246166	3040	175	175	0
66	4	Fluctuating	Left	Right	246487	248518	2031	1097	1097	0
67	4	Fluctuating	Right	Left	249325	252222	2897	120	146	0
68	4	Constant	Left	Right	252781	254934	2153	1113	1100	0
69	4	Constant	Right	Left	255350	258413	3063	174	174	0
70	4	Fluctuating	Left	Right	259029	262557	3528	1110	1090	0
71	4	Fluctuating	Right	Left	263190	266894	3704	162	142	0
72	4	Constant	Left	Right	267270	269830	2560	1110	1110	0
73	4	Fluctuating	Right	Left	270165	273717	3552	151	151	0
74	4	Fluctuating	Left	Right	274053	276749	2696	1131	1131	0
75	4	Constant	Right	Left	277005	278661	1656	164	164	0
76	4	Constant	Left	Right	278917	280997	2080	1106	1106	0
77	4	Constant	Right	Left	281238	283701	2463	163	151	0
78	4	Constant	Left	Right	283917	287542	3625	1120	1115	0
79	4	Constant	Right	Left	287813	289686	1873	140	140	0
80	4	Constant	Left	Right	290013	292318	2305	1106	1092	0

Group	Sum	Mean	Std. Dev
C2	19320	1932	121.1628839391191
C3	26368	2929.777777777778	501.5939039147549
C4	24818	2481.8	607.0099395122511
C5	38754	3875.4	590.4091236874083
F2	19012	1901.2	358.3238138270405
F3	31690	3169	1223.4016329707736
F4	28738	2873.8	569.4570123274353
F5	31998	3555.3333333333335	787.4895237398399
