Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	4	Constant	Right	Left	9247	14084	4837	168	173	1
2	4	Constant	Left	Right	14579	19525	4946	1105	1105	0
3	4	Constant	Right	Left	20019	24675	4656	150	150	0
4	4	Fluctuating	Left	Right	25050	31322	6272	1127	1125	0
5	4	Constant	Right	Left	31762	37322	5560	165	167	0
6	4	Constant	Left	Right	37652	40610	2958	1129	1129	0
7	4	Fluctuating	Right	Left	40978	49196	8218	131	142	0
8	4	Constant	Left	Right	49885	54066	4181	1105	1111	0
9	4	Fluctuating	Left	Right	59225	64785	5560	1091	1091	3
10	4	Constant	Right	Left	65857	69689	3832	164	153	0
11	4	Fluctuating	Left	Right	70041	75858	5817	1098	1098	0
12	4	Constant	Left	Right	80369	83569	3200	1117	1133	1
13	4	Constant	Right	Left	83993	86665	2672	126	147	0
14	4	Fluctuating	Left	Right	87473	90401	2928	1111	1128	0
15	4	Fluctuating	Right	Left	90761	94017	3256	140	140	0
16	4	Fluctuating	Left	Right	94546	97784	3238	1182	1148	0
17	4	Constant	Right	Left	98680	102008	3328	156	177	0
18	4	Fluctuating	Right	Left	107073	110952	3879	144	147	1
19	4	Fluctuating	Left	Right	111456	114632	3176	1108	1108	0
20	4	Fluctuating	Right	Left	114936	119656	4720	152	152	0
21	2	Fluctuating	Left	Right	120379	121580	1201	1478	1270	0
22	2	Constant	Right	Left	121928	123368	1440	-572	10	0
23	2	Fluctuating	Left	Right	123688	125576	1888	1470	1270	0
24	2	Constant	Right	Left	126712	128040	1328	-1124	10	0
25	2	Constant	Right	Left	130024	131648	1624	-1549	10	0
26	2	Constant	Left	Right	131993	133335	1342	2464	1270	0
27	2	Fluctuating	Right	Left	133671	134815	1144	-666	10	0
28	2	Fluctuating	Left	Right	135199	136576	1377	2686	1270	0
29	2	Constant	Right	Left	136920	138568	1648	-843	10	0
30	2	Constant	Right	Left	140455	141912	1457	-1195	10	1
31	2	Constant	Left	Right	142304	143783	1479	2474	1270	0
32	2	Fluctuating	Right	Left	144121	145111	990	-1502	10	0
33	2	Fluctuating	Left	Right	145471	146783	1312	2642	1270	0
34	2	Constant	Right	Left	147063	148599	1536	-1180	10	0
35	2	Fluctuating	Left	Right	148903	150160	1257	2249	1270	0
36	2	Fluctuating	Right	Left	150472	151952	1480	-1129	10	0
37	2	Fluctuating	Left	Right	152255	153839	1584	2338	1270	0
38	2	Constant	Right	Left	154144	155480	1336	-737	10	0
39	2	Constant	Left	Right	155896	157327	1431	2132	1270	0
40	2	Fluctuating	Right	Left	157687	159375	1688	-1145	10	0
41	5	Fluctuating	Right	Left	163983	170361	6378	156	156	1
42	5	Fluctuating	Left	Right	170759	177424	6665	1118	1118	0
43	5	Fluctuating	Left	Right	184198	190312	6114	1110	1110	1
44	5	Constant	Right	Left	190926	197662	6736	152	154	0
45	5	Fluctuating	Left	Right	198534	206569	8035	1120	1120	0
46	5	Fluctuating	Right	Left	206894	212518	5624	159	160	0
47	5	Constant	Left	Right	213197	218493	5296	1116	1116	0
48	5	Fluctuating	Right	Left	219101	224901	5800	161	161	0
49	5	Constant	Left	Right	225493	232701	7208	1117	1115	0
50	5	Constant	Right	Left	233141	238765	5624	163	163	0
51	5	Fluctuating	Left	Right	239349	245421	6072	1119	1119	0
52	5	Fluctuating	Right	Left	245781	252605	6824	164	164	0
53	5	Constant	Right	Left	257740	260445	2705	154	154	1
54	5	Fluctuating	Right	Left	265940	272356	6416	156	156	1
55	5	Constant	Left	Right	272860	277950	5090	1123	1123	0
56	5	Fluctuating	Right	Left	278404	287612	9208	162	162	0
57	5	Constant	Left	Right	288155	294317	6162	1121	1121	0
58	5	Constant	Right	Left	294699	299811	5112	152	152	0
59	5	Constant	Left	Right	300443	303619	3176	1123	1123	0
60	5	Constant	Right	Left	304107	311338	7231	160	160	0
61	3	Constant	Left	Right	311970	315346	3376	1145	1112	0
62	3	Fluctuating	Right	Left	315619	318915	3296	168	168	0
63	3	Constant	Left	Right	319382	321531	2149	1188	1130	0
64	3	Constant	Right	Left	322147	324410	2263	202	202	0
65	3	Constant	Left	Right	324859	326659	1800	1171	1157	0
66	3	Constant	Right	Left	327075	330194	3119	190	186	0
67	3	Fluctuating	Left	Right	330514	333466	2952	1150	1112	0
68	3	Fluctuating	Right	Left	333866	338826	4960	169	149	0
69	3	Fluctuating	Right	Left	342811	345130	2319	138	138	1
70	3	Fluctuating	Left	Right	345538	348058	2520	1137	1140	0
71	3	Fluctuating	Right	Left	348538	352458	3920	162	162	0
72	3	Fluctuating	Left	Right	352818	355356	2538	1144	1154	0
73	3	Constant	Right	Left	355715	358122	2407	125	123	0
74	3	Fluctuating	Left	Right	358562	361562	3000	1157	1113	0
75	3	Fluctuating	Right	Left	361972	367210	5238	187	161	0
76	3	Constant	Left	Right	367659	370098	2439	1126	1096	0
77	3	Constant	Right	Left	370514	373850	3336	136	127	0
78	3	Constant	Left	Right	374313	376706	2393	1136	1104	0
79	3	Fluctuating	Right	Left	377122	381802	4680	187	139	0
80	3	Constant	Left	Right	382267	385637	3370	1110	1133	0

Group	Sum	Mean	Std. Dev
C2	13164	1462.6666666666667	120.560150962082
C3	26652	2665.2	579.9053179423153
C4	32133	4016.625	1008.43286305322
C5	51635	5737.222222222223	1282.0738841597408
F2	13921	1392.1	271.35030659442583
F3	33104	3678.222222222222	1055.5176192013303
F4	37625	4703.125	1919.1016825215756
F5	48228	6889.714285714285	1303.7835600392311
