Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	3	Fluctuating	Left	Right	5629	11897	6268	1159	1083	0
2	3	Fluctuating	Right	Left	12141	15123	2982	119	135	0
3	3	Constant	Left	Right	15365	19380	4015	1131	1113	0
4	3	Constant	Right	Left	19684	23341	3657	148	169	0
5	3	Fluctuating	Left	Right	23492	26156	2664	1139	1141	0
6	3	Fluctuating	Right	Left	26316	29076	2760	158	160	0
7	3	Fluctuating	Left	Right	29317	31781	2464	1100	1100	0
8	3	Fluctuating	Right	Left	32045	34444	2399	169	182	0
9	3	Fluctuating	Left	Right	34716	37027	2311	1122	1122	0
10	3	Constant	Right	Left	37339	39379	2040	154	186	0
11	3	Fluctuating	Left	Right	39755	41955	2200	1060	1060	0
12	3	Fluctuating	Right	Left	42547	45612	3065	118	177	0
13	3	Constant	Left	Right	45860	49163	3303	1133	1147	0
14	3	Constant	Right	Left	49379	51451	2072	115	163	0
15	3	Fluctuating	Left	Right	51675	54571	2896	1134	1135	0
16	3	Constant	Right	Left	60122	62195	2073	176	181	2
17	3	Constant	Left	Right	62500	66402	3902	1098	1092	0
18	3	Constant	Right	Left	66675	69059	2384	131	164	0
19	3	Constant	Left	Right	69275	72306	3031	1124	1095	0
20	3	Constant	Right	Left	72555	75698	3143	154	153	0
21	4	Fluctuating	Left	Right	75906	80474	4568	1140	1140	0
22	4	Constant	Right	Left	80706	83994	3288	144	141	0
23	4	Fluctuating	Left	Right	84322	89290	4968	1104	1104	0
24	4	Constant	Right	Left	89914	93330	3416	166	166	0
25	4	Fluctuating	Left	Right	93586	98266	4680	1131	1131	0
26	4	Constant	Right	Left	98453	102146	3693	147	147	0
27	4	Fluctuating	Left	Right	102362	107330	4968	1103	1105	0
28	4	Constant	Right	Left	107826	111554	3728	163	162	0
29	4	Fluctuating	Left	Right	112017	117410	5393	1126	1135	0
30	4	Fluctuating	Right	Left	125625	129617	3992	161	152	1
31	4	Constant	Left	Right	129897	134838	4941	1125	1131	0
32	4	Constant	Right	Left	135153	139730	4577	171	171	0
33	4	Constant	Left	Right	139935	139535	-400	1113	1116	0
34	4	Constant	Right	Left	139710	142710	3000	156	161	0
35	4	Fluctuating	Left	Right	142919	145175	2256	1121	1121	0
36	4	Fluctuating	Right	Left	145342	150823	5481	166	176	0
37	4	Fluctuating	Left	Right	151175	155654	4479	1130	1130	0
38	4	Fluctuating	Right	Left	156374	157911	1537	165	169	0
39	4	Constant	Left	Right	158230	161207	2977	1134	1134	0
40	4	Constant	Right	Left	161438	163918	2480	172	172	0
41	2	Constant	Left	Right	164319	165353	1034	1574	1270	0
42	2	Constant	Right	Left	165697	166694	997	-745	10	0
43	2	Constant	Left	Right	167046	168198	1152	1747	1270	0
44	2	Fluctuating	Right	Left	168520	169960	1440	-511	10	0
45	2	Constant	Left	Right	170238	171422	1184	1465	1270	0
46	2	Fluctuating	Right	Left	171759	172728	969	-569	10	0
47	2	Fluctuating	Left	Right	173014	174574	1560	1873	1270	0
48	2	Constant	Right	Left	174894	176007	1113	-309	10	0
49	2	Fluctuating	Left	Right	176198	177478	1280	2413	1270	0
50	2	Fluctuating	Right	Left	177734	179430	1696	-222	205	0
51	2	Constant	Left	Right	179822	180862	1040	1782	1270	0
52	2	Fluctuating	Right	Left	181191	182853	1662	-583	10	0
53	2	Constant	Left	Right	183136	184478	1342	1787	1270	0
54	2	Fluctuating	Right	Left	184782	185824	1042	-454	10	0
55	2	Constant	Left	Right	186095	187206	1111	1834	1270	0
56	2	Constant	Right	Left	187495	188526	1031	-652	10	0
57	2	Fluctuating	Left	Right	188862	190222	1360	2730	1270	0
58	2	Constant	Right	Left	190471	191872	1401	-690	10	0
59	2	Fluctuating	Left	Right	192075	193254	1179	2531	1270	0
60	2	Fluctuating	Right	Left	193574	195446	1872	-1711	10	0
61	5	Fluctuating	Left	Right	199983	206733	6750	1118	1118	0
62	5	Constant	Right	Left	207125	211781	4656	161	161	0
63	5	Constant	Left	Right	212118	217005	4887	1119	1119	0
64	5	Fluctuating	Right	Left	217365	223197	5832	160	160	0
65	5	Fluctuating	Left	Right	223653	230190	6537	1124	1124	0
66	5	Fluctuating	Right	Left	230509	234781	4272	156	156	0
67	5	Fluctuating	Left	Right	235021	239967	4946	1126	1126	0
68	5	Fluctuating	Right	Left	240252	244748	4496	160	160	0
69	5	Fluctuating	Left	Right	245028	250308	5280	1121	1121	0
70	5	Constant	Right	Left	250636	257564	6928	157	157	0
71	5	Fluctuating	Left	Right	257772	263028	5256	1116	1116	0
72	5	Constant	Right	Left	263284	268428	5144	157	157	0
73	5	Constant	Left	Right	268724	273973	5249	1123	1123	0
74	5	Fluctuating	Right	Left	274276	278005	3729	162	156	0
75	5	Fluctuating	Left	Right	278476	283363	4887	1122	1122	0
76	5	Constant	Right	Left	283595	287164	3569	159	159	0
77	5	Constant	Left	Right	287436	290803	3367	1116	1116	0
78	5	Constant	Right	Left	291100	296125	5025	162	162	0
79	5	Constant	Left	Right	296467	301483	5016	1126	1122	0
80	5	Constant	Right	Left	302307	310427	8120	160	160	0

Group	Sum	Mean	Std. Dev
C2	11405	1140.5	135.86696925056265
C3	27547	3060.777777777778	751.4728501046757
C4	31700	3170	1455.3568481838245
C5	51961	5196.1	1414.0644689059343
F2	14060	1406	295.26823962853393
F3	30009	3000.9	1184.5718823458728
F4	38330	4258.888888888889	1393.1536566765028
F5	51985	5198.5	959.2898125407381
